Acharnes (Menidi), Αχαρνές (Μενίδι),1.66,75.25
Ag. Anargiroi, Αγ.Ανάργυροι,2.12,68.75
Ag. Artemios, Αγιος Αρτέμιος,2.6,
Ag. Dimitrios, Αγ.Δημήτριος,2.68,64.69
Ag. Eleftherios, Αγιος Ελευθέριος,2.2,
Ag. Ioannis Renti, Αγ.Ιωάννης Ρέντη,2.09,72.61
Ag. Nikolaios, Αγιος Νικόλαος,2,
Ag. Panteleimonas, Αγιος Παντελεήμονας,2.3,
Ag. Paraskevi, Αγ.Παρασκευή,2.71,47.57
Ag. Sofia, Αγ.Σοφία,1.98,
Ag. Stefanos, Αγ.Στέφανος,2.35,
Ag. Varvara, Αγ.Βαρβάρα,2.12,72.8
Ag. Vasileios, Αγ.Βασίλειος,2.22,
Aigaleo, Αιγάλεω,2.36,70.55
Akadimia Platonos, Ακαδημία Πλάτωνος,2.3,
Akropoli, Ακρόπολη,4.61,
Alimos, Αλιμος,3.24,51.67
Ampelokipoi, Αμπελόκηποι,2.96,
Anavissos, Ανάβυσσος,3.05,55.59
Ano Liosia, Ανω Λιόσια,1.67,79
Anoixi, Ανοιξη,2.47,
Argiroupoli, Αργυρούπολη,3.07,60.81
Artemida, Αρτέμιδα,2.18,
Botanikos, Βοτανικός,2.45,
Chaidari, Χαϊδάρι,2.87,66.82
Chalandri, Χαλάνδρι,3.44,49.47
Chatzikiriakeio, Χατζηκυριάκειο,2.52,
Cholargos, Χολαργός,3.88,42.72
Dafni, Δάφνη,2.42,61.1
Dionysos, Διόνυσος,2.98,46.01
Drapetsona, Δραπετσώνα,2.01,72.84
Drosia, Δροσιά,3.02,
Ekali, Εκάλη,3.47,
Elefsina,Ελευσίνα,,71.88
Elliniko, Ελληνικό,3.21,60.81
Ellinorosson, Ελληνορώσων,3.14,
Exarheia, Εξάρχεια,2.86,
Filopappou, Φιλοππάπου,3.09,
Filothei, Φιλοθέη,5.42,28.39
Freatida, Φρεαττύδα,2.4,
Galatsi, Γαλάτσι,2.33,62.56
Gerakas, Γέρακας,2.53,61.47
Gkazi, Γκάζι,3.12,
Gkizi, Γκύζι,2.56,
Glifada, Γλυφάδα,3.46,49.41
Glyka Nera, Γλυκά Νερά,2.33,
Goudi, Γουδί,2.88,
Hilton, Χίλτον,4.28,
Ilion (N. Liosia), Ιλιον (Ν.Λιόσια),2.1,69.49
Ilioupoli, Ηλιούπολη,3.08,60.52
Ilisia, Ιλίσια,3.01,
Imittos, Υμηττός,2.94,61.1
Irakleio, Ηράκλειο,2.72,59.74
Kaisariani, Καισαριανή,2.53,64.57
Kalivia, Καλύβια,1.85,61.43
Kallimarmaro, Καλλιμάρμαρο,2.46,
Kallipoli, Καλλίπολη,2.58,
Kallithea, Καλλιθέα,2.41,62.67
Kamatero, Καματερό,1.59,
Kaminia, Καμίνια,2.49,
Kapandriti, Καπανδρίτι,1.91,62.23
Kastela, Καστέλα,3.26,
Kerameikos, Κεραμεικός,3.53,
Kertea,Κερατέα,,71.81
Keratsini, Κερατσίνι,1.82,72.84
Kifisia, Κηφισιά,3.48,36.08
Kipseli, Κυψέλη,2.21,
Kolonaki, Κολωνάκι,7.28,
Kolonos, Κολωνός,1.85,
Koridallos, Κορυδαλλός,2.13,71.25
Koropi, Κορωπί,1.96,61.74
Koukaki, Κουκάκι,3.04,
Kryoneri, Κρυονέρι,2.03,
Lagonisi, Λαγονήσι,2.29,
Lavrio,Λαύριο,,71.81
Leof. Aharnon, Λεωφ. Αχαρνών,2.57,
Leof. Patission, Λεωφ. Πατησίων,1.94,
Likavitos, Λυκαβηττός,3.16,
Likobrisi, Λυκόβρυση,2.47,52.15
Lofos Skuze, Λόφος Σκουζέ,1.93,
Makrigianni, Μακρυγιάννη,3.69,
Marathonas, Μαραθώνας,1.7,59.56
Maroussi, Μαρούσι,3.21,49.52
Melissia, Μελίσσια,3.07,
Metamorfosi, Μεταμόρφωση,2.37,67.37
Metaxourgeio, Μεταξουργείο,1.6,
Mets, Μετς,3.3,
Moschato, Μοσχάτο,2.33,65.75
N. Chalkidona, Ν.Χαλκηδόνα,2.17,62.23
N. Erithrea, Ν.Ερυθραία,3.22,
N. Faliro, Ν.Φάληρο,2.62,
N. Filadelfeia, Ν.Φιλαδέλφεια,2.46,62.23
N. Filothei, Ν.Φιλοθέη,3.74,
N. Ionia, Ν.Ιωνία,2.55,66.28
N. Kosmos, Ν.Κόσμος,2.27,
N. Smirni, Ν.Σμύρνη,3.06,52.06
N.Makri, Ν.Μάκρη,2.43,59.56
Neapoli, Νεάπολη,2.94,
Nikaia, Νίκαια,2.03,72.61
P. Faliro, Π.Φάληρο,3.25,48.13
Pagrati, Παγκράτι,3.26,
Paiania, Παιανία,2.09,60.83
Pallini, Παλλήνη,2.59,61.47
Papagou, Παπάγου,3.82,42.72
Pasalimani, Πασαλιμάνι,2.24,
Patisia, Πατήσια,2.11,
Pedion Areos, Πεδίον Αρεως,2.27,
Pefki, Πεύκη,2.96,52.15
Peiraiki, Πειραϊκή,2.72,
Peireas (Center), Πειραιάς (κέντρο),2.02,60.14
Penteli, Πεντέλη,3.53,48.21
Perama, Πέραμα,1.52,76.64
Peristeri, Περιστέρι,2.21,70.28
Petralona, Πετράλωνα,2.41,
Petroupoli, Πετρούπολη,2.53,68.22
Plateia Amerikis, Πλατεία Αμερικής,2.1,
Plateia Attikis, Πλατεία Αττικής,1.95,
Plateia Koliatsou, Πλατεία Κολιάτσου,1.73,
Plateia Viktorias, Πλατεία Βικτωρίας,2.24,
Plateiea Vathis, Πλατεία Βάθης,1.8,
Polygono, Πολύγωνο,2.5,
Psichiko, Ψυχικό,4.17,28.39
Rafina, Ραφήνα,2.91,53.65
Rizoupoli, Ριζούπολη,2.59,
Rodopoli, Ροδόπολη,3.08,
Salamina,Σαλαμίνα,,70.72
Saronida, Σαρωνίδα,3.45,44.35
Sepolia, Σεπόλια,2.21,
Spata, Σπάτα,2.1,65.08
Stamata, Σταμάτα,3.08,
Stathmos Larissis, Σταθμός Λαρίσης,2.1,
Tavros, Ταύρος,2.22,65.75
Thiseio, Θησείο,3.17,
Thrakomakedones, Θρακομακεδόνες,2.25,
Vari, Βάρη,3.08,39.27
Varkiza, Βάρκιζα,3.49,39.27
Vironas, Βύρωνας,2.91,60.85
Voula, Βούλα,3.43,39.27
Vouliagmeni, Βουλιαγμένη,5.07,39.27
Vrilissia, Βριλήσσια,3.28,44.48
Zefiri, Ζεφύρι,1.47,71.42
Zografou, Ζωγράφου,2.98,55.92
